SSIM_original,SSIM_adam,SSIM_scaled,
0.776820719,0.891206563,0.862005532,
0.778380394,0.855175495,0.80504173,
0.813994825,0.860419571,0.822762191,
0.770628691,0.834318638,0.822910488,
0.793232381,0.86309737,0.838598669,
0.812081337,0.874569952,0.840581,
0.764481485,0.880536258,0.85865289,
0.827013791,0.868448913,0.854522765,
0.76017648,0.841576576,0.803869784,
0.735008955,0.862261117,0.820989549,
0.744707406,0.894500732,0.789091349,
0.775356591,0.89277178,0.807877779,
0.786472142,0.873417556,0.862738669,
0.742913246,0.849052727,0.823175609,
0.738301992,0.844390154,0.811989963,
0.747221947,0.906450927,0.880421162,
0.793563068,0.909102201,0.875504732,
0.787494004,0.887504101,0.870174587,
0.800021887,0.892488062,0.869018137,
0.782532156,0.892939389,0.882810056,
0.763951719,0.873205841,0.858571768,
0.752927601,0.853396714,0.84163636,
0.800180852,0.921904266,0.913694859,
0.809383214,0.880021334,0.849250376,
0.761111081,0.878729641,0.837330163,
0.740121186,0.902858555,0.887528896,
0.744069993,0.911185086,0.89856106,
0.787296593,0.904160082,0.86009407,
0.82343179,0.914059818,0.907044411,
0.784926474,0.891203225,0.879857719,
0.803411245,0.895088971,0.87743181,
0.794009924,0.840128839,0.830198944,
0.801683903,0.897891045,0.855793178,
0.777593613,0.840623319,0.825515211,
0.756544828,0.844584882,0.826380908,
0.76097995,0.906532288,0.846829712,
0.746020019,0.921476841,0.87117213,
0.754952371,0.878914058,0.804736674,
0.794659913,0.895236313,0.84142828,
0.799303472,0.86632067,0.805275142,
0.801043272,0.839453459,0.801747739,
0.781410515,0.905821085,0.871564388,
0.731825173,0.864002705,0.783530176,
0.726446688,0.848833561,0.788896561,
0.749862015,0.87178427,0.850801647,
0.767590761,0.893453121,0.848816931,
0.769761086,0.869005024,0.830624402,
0.839894295,0.903667033,0.876702487,
0.823411286,0.891344607,0.806914508,
0.834413588,0.919990063,0.90356636,
0.788167059,0.821664572,0.812442243,
0.779342115,0.773495913,0.767751515,
0.819622517,0.865270138,0.861890733,
0.776160955,0.894312084,0.833795726,
0.77903533,0.893370628,0.813878834,
0.772656918,0.815163553,0.785531998,
0.788740635,0.814349115,0.796325922,
0.831365883,0.8233881,0.813257039,
0.781057298,0.826998889,0.81471014,
0.753686905,0.879959822,0.828180015,
0.775261819,0.882655621,0.835840702,
0.774001658,0.867097378,0.784085512,
0.783978701,0.905183017,0.819534004,
0.780825436,0.851044834,0.797296226,
0.80699724,0.845304489,0.820341051,
0.828662574,0.904571712,0.912227571,
0.83421129,0.896198094,0.890564263,
0.799860418,0.90100652,0.866125286,
0.783724129,0.907838047,0.8946926,
0.805645466,0.916873932,0.851450384,
0.784478664,0.906451046,0.830937862,
0.790985286,0.895519197,0.840415061,
0.775306046,0.906258881,0.87127775,
0.768034518,0.906391203,0.859475315,
0.821654499,0.852711976,0.832553923,
0.77114898,0.832166731,0.821269691,
0.755153716,0.886066139,0.829749525,
0.761259735,0.848101318,0.791139424,
0.760730743,0.828786552,0.775497496,
0.752303779,0.827565193,0.804013908,
0.765114546,0.842074692,0.779281616,
0.741718829,0.822873175,0.785103977,
0.743419349,0.888848126,0.867197812,
0.75045085,0.891047776,0.860707223,
0.770455837,0.89326793,0.900465012,
0.81415695,0.881520092,0.836239994,
0.806364596,0.886705935,0.881365538,
0.787181675,0.834991634,0.792597592,
0.764806688,0.818810642,0.787995517,
0.805692971,0.861399174,0.830801249,
0.796173334,0.853317499,0.867240191,
0.769752026,0.791507483,0.769633591,
0.779910624,0.773544729,0.770563066,
0.779088974,0.86454314,0.856345892,
0.756811202,0.864463627,0.859377563,
0.75735265,0.885118961,0.872590482,
0.728727579,0.872716486,0.877536118,
0.728117466,0.857693195,0.815607071,
0.757562935,0.865644515,0.839226007,
0.834653556,0.869095147,0.872839034,
0.766551316,0.829086304,0.807136774,
0.783492744,0.82061106,0.80414778,
0.794180393,0.845221758,0.810230911,
0.777374685,0.851667225,0.830277979,
0.772334099,0.838782966,0.839491308,
0.784551084,0.871673584,0.817587614,
0.865604639,0.873060942,0.87538892,
0.756710231,0.826263726,0.843676269,
0.736081541,0.85844022,0.847947061,
0.827911198,0.877941787,0.886423171,
0.78260088,0.877439559,0.869402468,
0.74581033,0.876593411,0.900722206,
0.743136406,0.860104263,0.824318111,
0.779590666,0.848361909,0.827805519,
0.767003715,0.84420377,0.829766512,
0.775028765,0.855235994,0.81656307,
0.819666862,0.865459919,0.83153677,
0.83292383,0.842598259,0.836728394,
0.786976516,0.836422443,0.80326581,
0.815502942,0.854265928,0.853603065,
0.811363637,0.824814081,0.814745903,
0.785547018,0.854568541,0.870316207,
0.829935074,0.838639736,0.828717172,
0.831804752,0.873207808,0.86556977,
0.84674859,0.866270065,0.898222506,
0.76476717,0.862369955,0.869028986,
0.754223049,0.861288965,0.86261481,
0.793036222,0.827937603,0.818489552,
0.806090355,0.815130711,0.81159997,
0.782620728,0.845557511,0.873102963,
0.799424827,0.851730406,0.858836353,
0.786033809,0.75165087,0.813284695,
0.736771166,0.762086213,0.810766518,
0.727883637,0.803935528,0.857715368,
0.788591385,0.789061844,0.841403186,
0.78590256,0.848609209,0.895484269,
0.82660526,0.863344491,0.900472403,
0.805923283,0.816781938,0.870223045,
0.811846197,0.829786777,0.877453327,
0.806331635,0.799935341,0.806411266,
0.783449411,0.848011971,0.858993053,
0.800964057,0.840323389,0.847431183,
0.80258292,0.75271064,0.827096462,
0.786255598,0.792316258,0.843203247,
0.820568144,0.849127591,0.846436501,
0.801897287,0.835656226,0.832535744,
0.813357532,0.86590904,0.887364686,
0.817375839,0.877015293,0.884958446,
0.780819118,0.872287571,0.86989218,
0.773388147,0.848825514,0.853063822,
0.872174501,0.837358415,0.888917863,
0.812666178,0.822765589,0.836670876,
0.807496488,0.844414175,0.860501289,
0.785509348,0.844576597,0.882592738,
